Distilled Water,Artificial Sea Water,Heavy Water,Wavelength
269.2,273.3,6.8,763
263.3,270.1,6.8,764
268.8,273.7,6.4,764
261.5,261,6.8,766
252.5,256.7,6.3,768
251.9,254,6.5,770
248.5,250.7,6.6,772
246.8,246.8,6.4,774
240.3,243.8,6.9,776
237.5,241.4,6.4,778
234.6,237.6,6.7,780
217.7,224.3,7.2,782
209.7,216.4,7.5,784
210.2,213.7,7,786
207,210.6,7.2,788
205.2,209.7,7.4,790
